idStazione;Stazione;Provincia;Quota;UTM_Nord;UTM_EST;Fiume;Bacino;IdDV;IdNeve;idTerm;IdVV;IdPluv;IdIdro;IdRG;IdUR
862;LODI v. X Maggio;LO;64;5018523,29000000;539869,87000000;Adda;ADDA SUBLACUALE;;;;;8193;8114;;
863;LOZZA Ponte Vedano;VA;276;5069163,22000000;489791,54000000;Olona;LAMBRO;;;8116;;8115;8117;;
864;CASTELLANZA C.so G. Matteotti;VA;206;5050408,36000000;492783,35000000;Olona;LAMBRO;;;;;;8118;;
865;CANTÙ Asnago;CO;244;5062780,15000000;507811,37000000;Seveso;LAMBRO;;;8200;;8199;8119;;
866;PADERNO DUGNANO Palazzolo;MI;168;5047708,15000000;512402,15000000;Seveso;LAMBRO;;;;;8692;8121;;
867;CASLINO D'ERBA v. 4 novembre;CO;427;5075784,82000000;518046,55000000;Lambro;LAMBRO;;;8123;;8122;8124;;
868;LESMO Peregallo;MB;180;5053558,97000000;523312,20000000;Lambro;LAMBRO;;;;;14712;8120;;
869;MILANO v.Feltre;MI;127;5037597,16000000;519436,07000000;Lambro;LAMBRO;;;8162;;;8125;;
870;COMO viale Geno ;CO;200;5074080,02000000;506207,58000000;Lario;LARIO;;;8166;;8165;8382;;
871;OLGINATE S.Maria Lavello;LC;198;5070743,55000000;533433,23000000;Adda;ADDA SUBLACUALE;;;;;;8383;;
872;BREMBATE DI SOPRA Ponte Briolo;BG;260;5062019,64000000;545719,88000000;Brembo;ADDA SUBLACUALE;;;8127;;8126;8128;;
873;PONTI SUL MINCIO Monzambano ;MN;62;5027985,61000000;633560,40000000;Mincio;MINCIO;;;8225;;8224;8384;;
874;SARNICO v. Roma;BG;197;5057377,57000000;574538,68000000;Sebino;SEBINO;32237;;8136;32236;8135;8385;17527;
875;BAGOLINO Valle Dorizzo;BS;1226;5081485,69000000;612286,44000000;;;;;8138;;8137;;;11116
876;CAINO ;BS;428;5051536,42000000;603100,13000000;;;;;8140;;8139;;;32250
877;BOVEGNO ponte Zigole;BS;572;5070534,12000000;598195,46000000;Mella;OGLIO SUBLACUALE;;;;;8172;8141;;
878;DARFO BOARIO TERME SS 42;BS;205;5080335,02000000;589760,72000000;Oglio;OGLIO SOPRALACUALE;;;8186;;8185;8142;;
879;CAPRIOLO SP12;BS;178;5055325,64000000;571386,69000000;Oglio;OGLIO SUBLACUALE;;;;;;8143;;
880;VALMADRERA Malgrate;LC;222;5078101,50000000;529084,43000000;Lario;LARIO;;;;;;8386;;
882;MONTODINE ponte   ;CR;63;5014643,31000000;555776,44000000;Serio;ADDA SUBLACUALE;;;;;;8147;;
883;COSTA MASNAGA Lambrugo;LC;248;5067757,86000000;519381,37000000;Lambro;LAMBRO;;;;;;8148;;
884;CUVEGLIO ;VA;294;5083338,99000000;480047,90000000;;;;;8151;;8150;;;32241
885;ARCISATE ;VA;383;5076955,12000000;491501,62000000;;;;;8168;;8152;;;32244
886;VIGEVANO SS494;PV;94;5020886,64000000;490573,10000000;Ticino;TICINO SUBLACUALE;;;8196;;8195;8153;;
887;CREMONA SP 10;CR;40;4997693,41000000;578223,07000000;Po;PO;;;;;;8158;;
888;SONICO centrale Edolo;BS;623;5113810,23000000;603547,68000000;;;;;;;8131;;;
889;TORRE BOLDONE ;BG;311;5063070,00000000;555269,00000000;;;;;8145;;8161;;;
890;MILANO v.Confalonieri;MI;122;5037078,14000000;515100,02000000;;;;;;;8149;;;
891;ISOLA S.ANTONIO SS 211;AL;84;4986960,87000000;485996,90000000;Po;PO;;;;;;8129;;
894;LOMELLO SS 211;PV;95;4996705,83000000;484221,96000000;Agogna;AGOGNA;;;8178;;8176;8177;;
895;SONCINO v. Brescia;CR;87;5027680,21000000;569678,56000000;Oglio;OGLIO SUBLACUALE;;;8180;;8179;8181;;
896;COLLIO S.Colombano;BS;960;5073980,93000000;606852,43000000;;;;;8218;;8217;;11113;11114
897;BUSTO ARSIZIO v.Rossini;VA;242;5052553,39000000;486271,46000000;;;;;8220;;8219;;;
898;CODOGNO Ist.Tosi;LO;68;5001193,39000000;556652,39000000;;;;;;;8221;;;
899;CASTIGLIONE DELLE STIVIERE ;MN;109;5025628,78000000;618385,70000000;;;;;8216;;8215;;;
900;CHIARI ;BS;140;5041392,98000000;573236,73000000;;;11861;;;11668;8230;;;
901;CREMA v.Camporelle;CR;103;5022780,26000000;552590,54000000;;;;;8189;;8188;;;
902;BARNI ;CO;625;5083557,58000000;520640,71000000;;;;;8214;;8213;;;32253
903;MISINTO ;MB;247;5056428,25000000;505172,30000000;;;;;8212;;8211;;;
904;PAISCO LOVENO ;BS;816;5103599,50000000;600282,71000000;;;;;8227;;8226;;;32247
905;CEVO ;BS;1128;5103920,40000000;606529,61000000;;;;;8187;;8173;;;32336
906;ASOLA Sorbara ;MN;41;5008025,90000000;611167,69000000;;;;;8207;;8206;;;
907;VARESE v.Appiani;VA;416;5075452,13000000;486300,67000000;;;;;8229;;8228;;;
908;VOGHERA v. Cambiaso;PV;95;4981870,92000000;501379,88000000;Staffora;STAFFORA;;;8191;;8190;8192;;
909;BIENNO ;BS;501;5088803,78000000;599748,66000000;;;;;8184;;8174;;;
910;MANERBIO v.Dante;BS;60;5023554,03000000;589720,15000000;Mella;OGLIO SUBLACUALE;;;8209;;8208;8210;;
911;LAMBRUGO ;CO;273;5067627,87000000;519009,37000000;;;;;8198;;8197;;;
912;FOPPOLO ;BG;1682;5099046,76000000;558502,26000000;;;;;8096;;8095;;;11011
