numero_stazione,nome_stazione,longitudine,latitudine,cluster,lon_cluster,lat_cluster,cluster_id_nil,cluster_nil
196,Lagosta,9.190846298910545,45.48907767400665,40,9.192429133196702,45.49008228646361,11,ISOLA
199,Galvani - Restelli - RL,9.196687353271798,45.48768177831908,5,9.196396589403241,45.48637617978411,9,PORTA GARIBALDI - PORTA NUOVA
200,P.zza Luigi di Savoia,9.206197837454166,45.48497130992497,29,9.203890837951379,45.48454396672953,10,STAZIONE CENTRALE - PONTE SEVESO
201,IV Novembre,9.203739555625406,45.48734360653562,29,9.203890837951379,45.48454396672953,10,STAZIONE CENTRALE - PONTE SEVESO
203,Taramelli RL,9.19376891047457,45.49065783088805,40,9.192429133196702,45.49008228646361,11,ISOLA
204,Valtellina - Farini,9.18223528151395,45.48904931001256,27,9.184443835878634,45.48628872031331,9,PORTA GARIBALDI - PORTA NUOVA
206,Friuli,9.213679921100912,45.4548876665073,6,9.210856075371,45.45239945282402,27,PTA ROMANA
208,Brianza - Venini,9.212667927247024,45.4877880150212,37,9.210904907623602,45.48652124481528,10,STAZIONE CENTRALE - PONTE SEVESO
224,VI Febbraio,9.160594307693634,45.47678784069609,32,9.162543604490589,45.477367823735584,68,PAGANO
225,Chiesa - E. Filiberto,9.156582996048526,45.48481661608538,28,9.154646181152176,45.48359205427041,67,PORTELLO
226,Lotto,9.143334422673556,45.47986915859835,13,9.145263550011544,45.48175262622974,58,DE ANGELI - MONTE ROSA
227,Zavattari - Tempesta,9.14366193006109,45.47587495704799,24,9.146932657885024,45.47370431139837,58,DE ANGELI - MONTE ROSA
232,De Angeli - R. Sanzio,9.150562886848885,45.46706353057626,9,9.156449532864558,45.46723831157891,68,PAGANO
236,Mac Mahon - Caracciolo,9.161012126789664,45.49122130215151,7,9.160872378847012,45.48970659812899,70,GHISOLFA
237,Caneva - Tolentino,9.16073263090436,45.48819189410647,7,9.160872378847012,45.48970659812899,70,GHISOLFA
238,Govone - Borgese,9.168999627160714,45.488410117745005,45,9.167544313735174,45.48739459206072,69,SARPI
239,Marussig - Castelvetro,9.166089000309636,45.48637906637643,45,9.167544313735174,45.48739459206072,69,SARPI
241,Stuparich - Albani,9.14422066480548,45.48292086628227,13,9.145263550011544,45.48175262622974,58,DE ANGELI - MONTE ROSA
248,Teodorico - Gattamelata,9.151537094286564,45.48445832985374,28,9.154646181152176,45.48359205427041,67,PORTELLO
249,Vigliani - Scarampo,9.148235562555598,45.48246785380862,13,9.145263550011544,45.48175262622974,58,DE ANGELI - MONTE ROSA
255,Nigra - Castellini,9.170590821062271,45.49626265389929,36,9.170590821062271,45.49626265389929,78,FARINI
256,Lancetti Passante - Maloja,9.176459044788894,45.49484289176747,0,9.18123415887708,45.49428548501499,78,FARINI
257,Valtellina - Aprica,9.182439757376375,45.49301023176412,0,9.18123415887708,45.49428548501499,78,FARINI
259,Amendola M1,9.151710936565715,45.473636854118055,24,9.146932657885024,45.47370431139837,58,DE ANGELI - MONTE ROSA
270,Stelvio - Farini,9.184962599752463,45.49479276404717,0,9.18123415887708,45.49428548501499,78,FARINI
307,Piazzi - Bernina,9.181075233590589,45.4944960524812,0,9.18123415887708,45.49428548501499,78,FARINI
309,Carlo Magno - Alcuino,9.155818453121435,45.4815012168721,28,9.154646181152176,45.48359205427041,67,PORTELLO
318,Gioia - Carissimi,9.202225986920514,45.49069387827717,30,9.200688291644193,45.49163288944368,12,MACIACHINI - MAGGIOLINA
