id_amat;ubicazione;linee;LONG_X_4326;LAT_Y_4326;Location
13793;"Via Castelletto, 56 dopo Via S.Pietro (MOLINO)";165;9.14565416196629;45.5842175747045;"(45.5842175747045, 9.14565416196629)"
13794;C.so Milano dopo Via Turati (VILL. DEI GIOVI);165;9.14561993519689;45.5901156538565;"(45.5901156538565, 9.14561993519689)"
13795;"C.so Milano, 7 dopo via Cavour (VAREDO DEPOSITO)";165;9.14569499361675;45.5960642714666;"(45.5960642714666, 9.14569499361675)"
13797;Via M.te Grappa;165;9.12521510934433;45.6146464774693;"(45.6146464774693, 9.12521510934433)"
13798;Via M.te Bianco prima di  Via M.te Rosa;165;9.12070977915923;45.6147568207417;"(45.6147568207417, 9.12070977915923)"
13799;"P.za 5 Giornate, 5 prima di Via F.lli Cervi (PAESE)";165;9.12331477558798;45.6030143381016;"(45.6030143381016, 9.12331477558798)"
13800;"Via dei Mille, 80 dopo Via Faenza (COLOMBINO)";165;9.13520450154205;45.5986595340501;"(45.5986595340501, 9.13520450154205)"
13803;"V.le Isonzo, 6";92;9.20781121234562;45.4469562442182;"(45.4469562442182, 9.20781121234562)"
13804;P.za Trento prima di Via Crema;92;9.20340644419336;45.4471668545895;"(45.4471668545895, 9.20340644419336)"
13805;V.le Isonzo fronte 6 prima di P.le Lodi;92;9.20827769693994;45.4467747088766;"(45.4467747088766, 9.20827769693994)"
13806;Via Romero dopo via Amantea fronte ingresso Cimitero di Baggio;"67,76,433";9.08493314434741;45.4642898115455;"(45.4642898115455, 9.08493314434741)"
13807;P.le Stz Cascina Gobba m2;"152,160";9.26034592802541;45.5114240649174;"(45.5114240649174, 9.26034592802541)"
13815;Via Chioggia dopo Via Longarone;707;9.29417731444793;45.528848876992;"(45.528848876992, 9.29417731444793)"
13816;"Via Ginestrino, 53 prima di Via Micca";707;9.29438040390938;45.5302053331981;"(45.5302053331981, 9.29438040390938)"
13817;"Via Longarone, 28 dopo Via Chioggia";707;9.29352332479733;45.5280034715886;"(45.5280034715886, 9.29352332479733)"
13818;"Via Carducci, 25 dopo Via Pirandello";707;9.29153747948678;45.526028680831;"(45.526028680831, 9.29153747948678)"
13822;Via L.Da Vinci (ingresso scuole);707;9.29349872163472;45.5345548708182;"(45.5345548708182, 9.29349872163472)"
13823;P.le Cologno Nord M2;"701,707";9.29082333018446;45.5352171069668;"(45.5352171069668, 9.29082333018446)"
13826;"Via Galilei, 14 dopo Via 4 Strade";701;9.27651747461239;45.5318402447443;"(45.5318402447443, 9.27651747461239)"
13827;"V.le Lombardia, 6 prima di Via Pellico";701;9.2748977698266;45.5354555049376;"(45.5354555049376, 9.2748977698266)"
13828;V.le Lombardia fronte civ. 25;701;9.27495977958937;45.5371438725368;"(45.5371438725368, 9.27495977958937)"
13830;"V.le Lombardia, 86 prima di Via Giordano";"701,707";9.275125986378;45.5410273634915;"(45.5410273634915, 9.275125986378)"
13831;V.le Lombardia prima di Via Piacenza;701;9.27520265987375;45.5435114275098;"(45.5435114275098, 9.27520265987375)"
13832;Via Tagliabue 17 dopo V.le Lombardia;701;9.27383041984658;45.545922964983;"(45.545922964983, 9.27383041984658)"
13833;Via Tagliabue prima di Via della Repubblica;701;9.27097795299122;45.5459709197628;"(45.5459709197628, 9.27097795299122)"
13834;"Via della Repubblica, dopo Via Buozzi";701;9.26936176998632;45.5471423963023;"(45.5471423963023, 9.26936176998632)"
13835;"Via Filzi, 24 dopo Via Toti";701;9.26730124568125;45.5489750323101;"(45.5489750323101, 9.26730124568125)"
13836;"Via S.Maurizio al Lambro, 101dopo Via Rossini";701;9.26291614389969;45.5537916691718;"(45.5537916691718, 9.26291614389969)"
