FID,TIPO,DTIPO,NOME,EXTRA_RL,DEXTRA_RL,geometry
260,1,Stazione,CHIOZZOLA,2,Esterno confine regionale,POINT (610156.3119304975 4964357.44610327)
261,1,Stazione,DONNA,2,Esterno confine regionale,POINT (477434.42305602896 4962642.712443037)
262,1,Stazione,PARMA,2,Esterno confine regionale,POINT (605124.6537748653 4962505.510047537)
263,1,Stazione,CAMPOSANTO,2,Esterno confine regionale,POINT (669585.5615955207 4961405.87768509)
264,1,Stazione,POZZOLO FORMIGARO,2,Esterno confine regionale,POINT (482923.9126669981 4960414.778536264)
265,1,Stazione,CARPI,2,Esterno confine regionale,POINT (649671.7053629442 4960255.975843711)
266,1,Stazione,S.ILARIO D'ENZA,2,Esterno confine regionale,POINT (614764.8063545154 4957637.12590556)
267,1,Stazione,NOVI LIGURE,2,Esterno confine regionale,POINT (482701.9408340317 4957040.342008454)
268,1,Stazione,CADE`,2,Esterno confine regionale,POINT (620270.5599853286 4955200.19443015)
269,1,Stazione,CREVALCORE,2,Esterno confine regionale,POINT (670481.3851077592 4953719.036790689)
270,1,Stazione,REGGIO NELL'EMILIA,2,Esterno confine regionale,POINT (630224.7994477634 4950303.823244506)
271,1,Stazione,ANDERMATT,2,Esterno confine regionale,POINT (468451.45891131466 5167879.335847624)
272,1,Stazione,GIUBIASCO,2,Esterno confine regionale,POINT (500226.2547822652 5113375.880785197)
273,1,Stazione,LOCARNO,2,Esterno confine regionale,POINT (484659.6162437496 5113241.126610915)
274,1,Stazione,RANZO-S.ABBONDIO,2,Esterno confine regionale,POINT (483315.94576593733 5106969.704531919)
275,1,Stazione,PINO-TRONZANO,1,Interno  confine regionale,POINT (480042.96930078894 5105054.2586421715)
276,1,Stazione,MACCAGNO,1,Interno  confine regionale,POINT (479706.5186877726 5098731.320218414)
277,1,Stazione,PORTO VALTRAVAGLIA,1,Interno  confine regionale,POINT (477301.9375683755 5090949.909098494)
278,1,Stazione,CALDE`,1,Interno  confine regionale,POINT (474374.43009087164 5087983.952428691)
279,1,Stazione,PORTO CERESIO,1,Interno  confine regionale,POINT (492192.6148603208 5083163.491392491)
280,1,Stazione,SAMOLACO,1,Interno  confine regionale,POINT (532686.7895104893 5121559.766933298)
281,1,Stazione,PIONA,1,Interno  confine regionale,POINT (527111.8403648053 5108037.020268713)
282,1,Stazione,ROGOLO,1,Interno  confine regionale,POINT (537448.5649914677 5109510.831596014)
283,1,Stazione,BELLANO-TARTAVALLE T.,1,Interno  confine regionale,POINT (523455.9601123314 5098531.221540725)
284,1,Stazione,VARENNA-ESINO,1,Interno  confine regionale,POINT (522180.986156182 5095688.792886304)
285,1,Stazione,FORNO ALLIONE,1,Interno  confine regionale,POINT (601718.54774147 5104794.957863926)
286,1,Stazione,CETO-CERVENO,1,Interno  confine regionale,POINT (603948.741277755 5094697.118353268)
287,1,Stazione,LAVENO-MOMBELLO,1,Interno  confine regionale,POINT (470517.0400793012 5083658.01031981)
288,1,Stazione,NIARDO-LOSINE,1,Interno  confine regionale,POINT (602248.7520149029 5091753.697989534)
289,1,Stazione,CIVIDATE-MALEGNO,1,Interno  confine regionale,POINT (598219.0600381943 5088641.300998843)
290,1,Stazione,COGNO-ESINE,1,Interno  confine regionale,POINT (596081.5841222465 5086940.856335986)
291,1,Stazione,ERBANNO-ANGONE,1,Interno  confine regionale,POINT (592762.5993081863 5083718.947961134)
292,1,Stazione,COSIO-TRAONA,1,Interno  confine regionale,POINT (540460.5053171945 5109331.783607165)
293,1,Stazione,ARDENNO-MASINO,1,Interno  confine regionale,POINT (550228.3561852139 5112144.080441335)
294,1,Stazione,S.PIETRO-BERBENNO,1,Interno  confine regionale,POINT (557094.7595007946 5112173.996717559)
295,1,Stazione,CASTIONE ANDEVENNO,1,Interno  confine regionale,POINT (561650.9670692297 5112350.957707219)
296,1,Stazione,POGGIRIDENTI-TRESIVIO-PIATEDA,1,Interno  confine regionale,POINT (572035.2660903302 5113139.950049738)
297,1,Stazione,PONTE IN VALTELLINA,1,Interno  confine regionale,POINT (575328.6073156185 5112615.968213927)
298,1,Stazione,TRESENDA-APRICA-TEGLIO,1,Interno  confine regionale,POINT (583602.4927420804 5112707.966460835)
299,1,Stazione,S.GIACOMO DI TEGLIO,1,Interno  confine regionale,POINT (579974.7979532352 5112273.981200146)
300,1,Stazione,COCQUIO TREVISAGO,1,Interno  confine regionale,POINT (475914.75253211777 5078387.052018249)
301,1,Stazione,BARASSO-COMERIO,1,Interno  confine regionale,POINT (479442.9115313909 5076094.087574474)
302,1,Stazione,MOROSOLO-CASCIAGO,1,Interno  confine regionale,POINT (480685.258819039 5075592.599907616)
303,1,Stazione,VARESE NORD,1,Interno  confine regionale,POINT (487404.00067865086 5073208.66034044)
304,1,Stazione,INDUNO OLONA,1,Interno  confine regionale,POINT (487418.0530711775 5076932.607500795)
305,1,Stazione,BISUSCHIO-VIGGIU`,1,Interno  confine regionale,POINT (491245.8031742813 5079563.064523816)
