numero_stazione,nome_stazione,anno,null_obs_ranking,nil,id_nil,municipio,longitudine,latitudine
022,Medaglie d'Oro 1,2008,very_low,PTA ROMANA,27,4,9.203350422343458,45.45161201948631
023,Regina Margherita,2008,very_low,GUASTALLA,4,1,9.205300766700963,45.45825047191478
024,Tricolore,2008,high,GUASTALLA,4,1,9.20602256554318,45.46781447936755
025,Centrale 1,2008,very_low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.202492563661446,45.48541018794012
026,Centrale 2,2008,very_low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.204244247011944,45.48453931744756
027,Porta Venezia,2008,very_low,GIARDINI P.TA VENEZIA,3,1,9.204531507779365,45.474635549239636
028,San Giovanni sul Muro,2008,very_low,DUOMO,1,1,9.181432580678795,45.467565705287264
029,San Pietro in Gessate,2008,very_low,GUASTALLA,4,1,9.20139318404943,45.46239174038339
030,Crocetta,2008,very_low,GUASTALLA,4,1,9.195717519846108,45.45622444568411
031,Brenta MM,2014,very_low,LODI - CORVETTO,35,4,9.219296185939635,45.442681678642934
032,Manin - Bastioni,2008,very_low,GIARDINI P.TA VENEZIA,3,1,9.198315723354154,45.47685983498168
033,Triennale,2008,very_low,PARCO SEMPIONE,8,1,9.173652222122323,45.47181390614776
034,Cairoli,2008,very_low,DUOMO,1,1,9.182153751483126,45.46765301744008
035,Torino - Carrobbio,2008,very_low,DUOMO,1,1,9.181883322281033,45.46049099047892
036,San Vito,2008,very_low,DUOMO,1,1,9.18372934798512,45.45924090413592
037,Italia - San Martino,2008,very_low,PORTA VIGENTINA - PORTA LODOVICA,5,1,9.186972410448341,45.45316119645458
038,XXIV Maggio,2009,very_low,PORTA TICINESE - CONCA DEL NAVIGLIO,6,5,9.179554424983023,45.45222059568153
039,XXV Aprile,2008,very_low,BRERA,2,1,9.186674174078771,45.4801729977672
040,Morozzo della Rocca,2008,very_low,MAGENTA - S. VITTORE,7,1,9.16893363778206,45.46397162386378
041,Conciliazione,2008,very_low,MAGENTA - S. VITTORE,7,1,9.166966088597944,45.46771276118004
042,San Pietro all'Orto,2008,very_low,DUOMO,1,1,9.195572885849401,45.46620493857327
043,Festa del Perdono,2008,very_low,DUOMO,1,1,9.194770824468488,45.46140588036046
044,Richini,2008,very_low,DUOMO,1,1,9.19301237029974,45.45943633843248
045,Cantu',2008,very_low,DUOMO,1,1,9.186660648421514,45.4641772256337
046,Porta Nuova,2008,very_low,PORTA GARIBALDI - PORTA NUOVA,9,9,9.192836682240376,45.48004008793847
047,Gorizia 1,2008,very_low,PORTA TICINESE - CONCHETTA,44,6,9.177521970856178,45.45232497230397
048,Gorizia 2,2008,low,PORTA TICINESE - CONCHETTA,44,6,9.177624950922617,45.45221591718225
049,Meda,2008,very_low,DUOMO,1,1,9.193060819392255,45.46639649446848
050,Beccaria,2008,low,DUOMO,1,1,9.194666594256322,45.46438849783873
051,Santa Maria delle Grazie,2008,very_low,MAGENTA - S. VITTORE,7,1,9.169620830008263,45.46671676427905
052,Vittor Pisani,2008,very_low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.199212314860377,45.480507795561024
053,Palestro 1,2008,very_low,GIARDINI P.TA VENEZIA,3,1,9.201831925492375,45.4722871789512
054,Sant'Eustorgio - P.ta Ticinese,2008,very_low,PORTA TICINESE - CONCA DEL NAVIGLIO,6,1,9.18083834052121,45.45519055955162
055,Cinque Giornate,2008,very_low,GUASTALLA,4,1,9.207019319131126,45.46266904826596
056,Bastioni di Porta Venezia,2008,very_low,GIARDINI P.TA VENEZIA,3,1,9.20050143838772,45.475973088438
057,Brera,2008,very_low,BRERA,2,1,9.187641249068582,45.47159128297687
059,Palestro 2,2008,very_low,GIARDINI P.TA VENEZIA,3,1,9.201575814117252,45.47241708204282
060,Edison,2008,very_low,DUOMO,1,1,9.18351452172416,45.46433384169186
061,Augusto,2008,very_low,DUOMO,1,1,9.19839115246274,45.46325584232261
062,Treves,2008,very_low,BRERA,2,1,9.18678789945444,45.47504500866883
063,Sant'Ambrogio,2008,very_low,DUOMO,1,1,9.17411567564591,45.461959204192645
064,Diaz,2008,very_low,DUOMO,1,1,9.189861993578571,45.46309679870541
065,Bertarelli,2008,very_low,DUOMO,1,1,9.187493249627513,45.458586868726165
066,Cavour,2008,very_low,GIARDINI P.TA VENEZIA,3,1,9.196340516992198,45.47301620256426
067,Repubblica,2008,very_low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.19654525393699,45.47908110528522
068,Rotonda della Besana,2008,very_low,GUASTALLA,4,1,9.205446007746632,45.46060474471093
069,S. Nazaro in Brolo,2009,very_low,DUOMO,1,1,9.192644706048462,45.45830220922638
070,Fatebenefratelli,2008,very_low,BRERA,2,1,9.190114222786791,45.473150088570854
071,Medaglie d'Oro 2,2009,very_low,PTA ROMANA,27,4,9.203000636454071,45.451848460868376
072,Cardinal Ferrari,2008,very_low,PORTA VIGENTINA - PORTA LODOVICA,5,1,9.19276821062689,45.456708930328986
073,Majno - Baretti,2009,very_low,GUASTALLA,4,1,9.20491361564008,45.47149759930991
074,Dante - San Tomaso,2009,very_low,BRERA,2,1,9.184080776626033,45.4670760525911
075,Cusani,2009,very_low,BRERA,2,1,9.185006033581939,45.46874961887305
076,Mentana,2009,very_low,DUOMO,1,1,9.181956861288182,45.461778997159065
077,Sant'Angelo - P.ta Nuova,2009,very_low,BRERA,2,1,9.19180363864132,45.47672771229414
078,Aquileia,2009,very_low,PORTA MAGENTA,51,7,9.163371258439662,45.4608561959434
079,Baracca,2009,very_high,MAGENTA - S. VITTORE,7,1,9.165491737988278,45.466712668618655
080,Manzoni,2009,very_low,BRERA,2,1,9.192389581720269,45.47124117941638
081,Universita' Bocconi 2 - Bach,2009,very_low,PORTA VIGENTINA - PORTA LODOVICA,5,5,9.190909071789106,45.44827924374422
082,Dell'Umanitaria,2009,very_low,GUASTALLA,4,1,9.200629496375292,45.45815920541402
083,Rastrelli - Pecorari,2009,high,DUOMO,1,1,9.191042418135309,45.46235582380558
084,Cadorna 2,2009,very_low,MAGENTA - S. VITTORE,7,1,9.176161792703473,45.46904358964863
085,D'Ancona,2009,very_low,DUOMO,1,1,9.175806483389378,45.46570272201069
086,Mascagni,2009,very_low,GUASTALLA,4,1,9.203115444383737,45.46539707898497
